codmpio,depto2010,mpio2010,codmpio1928,depto1928,mpio1928,match,men1918,women1918,pop1918,houses1928,families1928,men1928,women1928,pop1928,men21_1928,ink
19212,Cauca,Corinto,6008,Cauca,Corinto,1,2238,2199,4437,1458,1196,3579,3297,6876,1780,
19622,Cauca,Rosas,6009,Cauca,Dolores,1,1496,1530,3026,729,595,1755,1749,3504,764,
19256,Cauca,El Tambo,6010,Cauca,El Tambo,1,6828,7344,14172,8461,2926,9198,9719,18917,3853,
19318,Cauca,Guapi,6011,Cauca,Guapi,1,5133,5445,10578,3435,1623,4356,5154,9510,1992,
19355,Cauca,Inza,6012,Cauca,Inza,1,2959,2928,5887,3256,1249,3761,3725,7486,1681,
19364,Cauca,Jambalo,6013,Cauca,Jambalo,1,2484,2449,4933,1170,610,1959,1987,3946,947,
19392,Cauca,La Sierra,6014,Cauca,La Sierra,1,1594,1738,3332,1073,719,2001,2062,4063,831,
19397,Cauca,La Vega,6015,Cauca,La Vega,1,3756,3878,7634,1998,1818,4633,4824,9457,2031,
19450,Cauca,Mercaderes,6016,Cauca,Mercaderes,1,3854,3743,7597,2003,1485,3914,4160,8074,1628,
19455,Cauca,Miranda,6017,Cauca,Miranda,1,2272,2265,4537,2043,919,3035,2928,5963,1521,
19473,Cauca,Morales,6018,Cauca,Morales,1,1712,1774,3486,1827,768,2251,2260,4511,984,
19517,Cauca,Paez,6019,Cauca,Paez (Belalcazar),1,4741,4634,9375,4933,2472,6198,5874,12072,2914,
19532,Cauca,Patia,6020,Cauca,Patia (El Bordo),1,3187,3169,6356,2433,1660,4603,4906,9509,1819,
19573,Cauca,Puerto Tejada,6021,Cauca,Puerto Tejada,1,1685,1634,3319,4402,1280,4471,3817,8288,2282,
19585,Cauca,Purace,6022,Cauca,Purace,1,1865,1978,3843,948,685,1904,2091,3995,897,
19397,Cauca,La Vega,6023,Cauca,San Miguel,1,3340,3584,6924,2013,1049,3168,3554,6722,1389,
19693,Cauca,San Sebastian,6024,Cauca,San Sebastian,1,2422,2531,4953,1526,1169,2895,3062,5957,1322,
19701,Cauca,Santa Rosa,6025,Cauca,Santa Rosa,1,641,607,1248,357,241,740,719,1459,317,
19698,Cauca,Santander De Quilichao,6026,Cauca,Santander,1,5469,6224,11693,6385,2471,7347,7831,15178,3292,
19743,Cauca,Silvia,6027,Cauca,Silvia,1,5623,5556,11179,4991,2442,6727,6984,13711,3112,
19807,Cauca,Timbio,6028,Cauca,Timbio,1,6726,7190,13916,4094,3136,11059,10450,21509,4864,
19809,Cauca,Timbiqui,6029,Cauca,Timbiqui,1,2132,2224,4356,703,1141,3419,4146,7565,1294,
19821,Cauca,Toribio,6030,Cauca,Toribio (Tacueyo),1,2181,2306,4487,1471,883,2882,2665,5547,1358,
19824,Cauca,Totoro,6031,Cauca,Totoro,1,2471,2554,5025,3327,1028,2738,2765,5503,1233,
19548,Cauca,Piendamo,6032,Cauca,Tunia,1,1548,1926,3474,2009,876,2508,2638,5146,1118,
11001,,Bogota,7001,Cundinamarca,Bogota,1,59636,84358,143994,21347,33172,103868,131553,235421,56609,
25001,Cundinamarca,Agua De Dios,7002,Cundinamarca,Agua De Dios,1,2481,2792,5273,1280,1060,3002,3576,6578,758,
25019,Cundinamarca,Alban,7003,Cundinamarca,Alban,1,918,990,1908,529,517,2632,1644,4276,1550,
25035,Cundinamarca,Anapoima,7004,Cundinamarca,Anapoima,1,3595,2954,6549,1260,910,4655,3230,7885,2489,
25040,Cundinamarca,Anolaima,7005,Cundinamarca,Anolaima,1,7773,7859,15632,2989,3055,9163,9552,18715,4370,
25053,Cundinamarca,Arbelaez,7006,Cundinamarca,Arbelaez,1,3642,3601,7243,1601,1639,4959,4718,9677,2322,
25086,Cundinamarca,Beltran,7007,Cundinamarca,Beltran,1,950,958,1908,306,214,836,780,1616,385,
25095,Cundinamarca,Bituima,7008,Cundinamarca,Bituima,1,2781,2484,5265,921,606,2154,1927,4081,1062,
25099,Cundinamarca,Bojaca,7009,Cundinamarca,Bojaca,1,1270,1286,2556,411,341,1007,1057,2064,458,
11001,,Bogota,7010,Cundinamarca,Bosa,1,841,1086,1927,443,357,1070,1038,2108,504,
25126,Cundinamarca,Cajica,7011,Cundinamarca,Cajica,1,2319,2614,4933,958,992,2385,2791,5176,1148,
25148,Cundinamarca,Caparrapi,7012,Cundinamarca,Caparrapi,1,4316,4321,8637,2873,1795,7302,5622,12924,4185,
25151,Cundinamarca,Caqueza,7013,Cundinamarca,Caqueza,1,7093,7886,14979,2315,2420,9813,8301,18114,4875,
25154,Cundinamarca,Carmen De Carupa,7014,Cundinamarca,Carmen De Carupa,1,4284,4410,8694,1618,1828,7803,6859,14662,3984,
25898,Cundinamarca,Zipacon,7015,Cundinamarca,Cipacon,1,1483,1512,2995,625,289,1350,1440,2790,651,
25200,Cundinamarca,Cogua,7016,Cundinamarca,Cogua,1,2174,2266,4440,828,885,2171,2329,4500,1066,
25214,Cundinamarca,Cota,7017,Cundinamarca,Cota,1,1623,1725,3348,710,654,1508,1672,3180,716,
25224,Cundinamarca,Cucunuba,7018,Cundinamarca,Cucunuba,1,2273,2775,5048,933,909,3633,3474,7107,1895,
25168,Cundinamarca,Chaguani,7019,Cundinamarca,Chaguani,1,2059,2015,4074,719,659,2226,1984,4210,1011,
25175,Cundinamarca,Chia,7020,Cundinamarca,Chia,1,2876,3762,6638,1902,1790,5351,6306,11657,2670,
25178,Cundinamarca,Chipaque,7021,Cundinamarca,Chipaque,1,3159,3647,6806,1353,1327,3504,3828,7332,1629,
25181,Cundinamarca,Choachi,7022,Cundinamarca,Choachi,1,3525,3602,7127,1797,1395,3710,3896,7606,1699,
25183,Cundinamarca,Choconta,7023,Cundinamarca,Choconta,1,4682,5403,10085,1151,2223,7113,7489,14602,3573,
25245,Cundinamarca,El Colegio,7024,Cundinamarca,El Colegio,1,4044,3620,7664,1488,1297,4414,4271,8685,2083,
25258,Cundinamarca,El Peñon,7025,Cundinamarca,El Peñon,1,4207,4353,8560,1184,1291,4472,3721,8193,2310,
